,content
171,"{'companyId': 83025, 'score': 0, 'positionId': 1574129, 'positionName': '数据分析师', 'createTime': '2018-12-26 09:26:11', 'positionAdvantage': '上市公司 福利待遇优厚', 'salary': '5k-8k', 'approve': 1, 'workYear': '不限', 'education': '本科', 'city': '深圳', 'companyLogo': 'image1/M00/38/9F/CgYXBlWmIt6Af8k5AABvK21LZWM490.jpg?cc=0.211507520172745', 'jobNature': '全职', 'industryField': '电子商务', 'companyShortName': '环球易购', 'financeStage': '上市公司', 'companySize': '2000人以上', 'companyLabelList': ['节日礼物', '股票期权', '带薪年假', '绩效奖金'], 'publisherId': 2117758, 'district': '南山区', 'positionLables': [], 'industryLables': [], 'businessZones': ['南油', '海王大厦', '蛇口'], 'formatCreateTime': '09:26发布', 'longitude': '113.922988', 'latitude': '22.515272', 'companyFullName': '深圳市环球易购电子商务有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545791367000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '11号线/机场线', 'stationname': '南山', 'linestaion': '11号线/机场线_南山', 'thirdType': '数据分析', 'skillLables': []}"
172,"{'companyId': 164715, 'score': 0, 'positionId': 4780971, 'positionName': '数据分析员', 'createTime': '2018-12-21 08:57:06', 'positionAdvantage': '团队旅游,帅哥美女,定期体检', 'salary': '6k-12k', 'approve': 1, 'workYear': '1-3年', 'education': '本科', 'city': '深圳', 'companyLogo': 'i/image/M00/86/CF/Cgp3O1hlzsuAEV6NAADtLNIkivU223.png', 'jobNature': '全职', 'industryField': '移动互联网,金融', 'companyShortName': '天下支付', 'financeStage': '不需要融资', 'companySize': '150-500人', 'companyLabelList': ['绩效奖金', '年底双薪', '带薪年假', '交通补助'], 'publisherId': 6723977, 'district': '福田区', 'positionLables': ['电商', '支付'], 'industryLables': ['电商', '支付'], 'businessZones': ['竹子林', '香蜜湖', '车公庙'], 'formatCreateTime': '2018-12-21', 'longitude': '114.025299', 'latitude': '22.537117', 'companyFullName': '天下支付科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'disabled', 'lastLogin': 1545388518000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '7号线', 'stationname': '农林', 'linestaion': '1号线/罗宝线_香蜜湖;1号线/罗宝线_车公庙;1号线/罗宝线_竹子林;11号线/机场线_车公庙;7号线_农林;7号线_车公庙;9号线_下沙;9号线_车公庙', 'thirdType': '数据分析', 'skillLables': []}"
173,"{'companyId': 321025, 'score': 0, 'positionId': 5021443, 'positionName': '数据分析师', 'createTime': '2018-12-26 09:09:26', 'positionAdvantage': '驱动开发,团队年轻,团队年轻,牛人带你', 'salary': '10k-15k', 'approve': 1, 'workYear': '1-3年', 'education': '硕士', 'city': '深圳', 'companyLogo': 'i/image3/M00/19/DB/Cgq2xlp5XsCAQwLWAAC33_3CyeE403.jpg', 'jobNature': '全职', 'industryField': '移动互联网,教育', 'companyShortName': '熊猫书院', 'financeStage': 'A轮', 'companySize': '50-150人', 'companyLabelList': ['专项奖金', '带薪年假', '定期体检', '六险一金'], 'publisherId': 9813698, 'district': '南山区', 'positionLables': ['大数据', '数据挖掘'], 'industryLables': ['大数据', '数据挖掘'], 'businessZones': None, 'formatCreateTime': '09:09发布', 'longitude': '113.946882', 'latitude': '22.546157', 'companyFullName': '风变科技（深圳）有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 66, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545806963000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['数据挖掘']}"
174,"{'companyId': 917, 'score': 0, 'positionId': 2857336, 'positionName': '高级数据分析师', 'createTime': '2018-12-26 13:39:14', 'positionAdvantage': '数据量大,攻城狮氛围,牛人多,弹性工作', 'salary': '20k-30k', 'approve': 1, 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'companyLogo': 'i/image/M00/37/20/CgqKkVdfms6Ac6dNAABY3gBvuqI944.jpg', 'jobNature': '全职', 'industryField': '移动互联网,数据服务', 'companyShortName': '极光', 'financeStage': '上市公司', 'companySize': '500-2000人', 'companyLabelList': ['五险一金', '文体活动', '团建旅游', '美味晚餐'], 'publisherId': 2153176, 'district': '南山区', 'positionLables': ['电商', '广告营销', '数据挖掘'], 'industryLables': ['电商', '广告营销', '数据挖掘'], 'businessZones': ['南头'], 'formatCreateTime': '13:39发布', 'longitude': '113.907458', 'latitude': '22.550007', 'companyFullName': '深圳市和讯华谷信息技术有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 89, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545809506000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '新安', 'linestaion': '1号线/罗宝线_新安', 'thirdType': '数据分析', 'skillLables': ['数据挖掘']}"
175,"{'companyId': 36534, 'score': 0, 'positionId': 5453303, 'positionName': '数据分析师', 'createTime': '2018-12-25 17:16:08', 'positionAdvantage': 'C轮融资', 'salary': '11k-15k', 'approve': 1, 'workYear': '1-3年', 'education': '本科', 'city': '深圳', 'companyLogo': 'i/image/M00/16/9D/Cgp3O1bv1MKANc_eAAAzdZOSecA505.jpg', 'jobNature': '全职', 'industryField': '移动互联网,O2O', 'companyShortName': 'LOHO 眼镜', 'financeStage': 'C轮', 'companySize': '500-2000人', 'companyLabelList': ['技能培训', '节日礼物', '年度旅游', '扁平管理'], 'publisherId': 639843, 'district': '宝安区', 'positionLables': ['数据运营', '数据库'], 'industryLables': [], 'businessZones': None, 'formatCreateTime': '1天前发布', 'longitude': '113.89372', 'latitude': '22.56222', 'companyFullName': '深圳市乐活电子商务有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545793956000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '5号线/环中线', 'stationname': '宝安中心', 'linestaion': '1号线/罗宝线_宝安中心;1号线/罗宝线_宝体;5号线/环中线_宝安中心;5号线/环中线_翻身;5号线/环中线_灵芝', 'thirdType': '数据分析', 'skillLables': ['数据运营', '数据库']}"
176,"{'companyId': 11885, 'score': 0, 'positionId': 4034151, 'positionName': '数据分析岗', 'createTime': '2018-12-26 09:50:21', 'positionAdvantage': '公司平台大，发展前景好', 'salary': '5k-8k', 'approve': 1, 'workYear': '不限', 'education': '本科', 'city': '深圳', 'companyLogo': 'image1/M00/00/17/Cgo8PFTUWEyAdVplAACPfhlUvwM417.png', 'jobNature': '全职', 'industryField': '企业服务', 'companyShortName': '世联行', 'financeStage': '上市公司', 'companySize': '2000人以上', 'companyLabelList': ['五险一金', '通讯津贴', '带薪年假', '年底双薪'], 'publisherId': 148159, 'district': '罗湖区', 'positionLables': ['金融', 'SPSS'], 'industryLables': ['金融', 'SPSS'], 'businessZones': ['东门', '留医部', '罗湖区委'], 'formatCreateTime': '09:50发布', 'longitude': '114.127163', 'latitude': '22.544938', 'companyFullName': '深圳世联行地产顾问股份有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545804184000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '黄贝岭', 'linestaion': '2号线/蛇口线_湖贝;2号线/蛇口线_黄贝岭;1号线/罗宝线_老街;3号线/龙岗线_老街;3号线/龙岗线_晒布;3号线/龙岗线_翠竹;5号线/环中线_黄贝岭;9号线_人民南;9号线_向西村;9号线_文锦', 'thirdType': '数据分析', 'skillLables': ['SPSS']}"
177,"{'companyId': 110293, 'score': 0, 'positionId': 5381690, 'positionName': '数据分析', 'createTime': '2018-12-25 11:36:44', 'positionAdvantage': '周末双休,五险一金,全勤奖,年终奖励', 'salary': '5k-7k', 'approve': 1, 'workYear': '1-3年', 'education': '大专', 'city': '深圳', 'companyLogo': 'i/image/M00/32/F6/Cgp3O1dP_7-ANNv0AABUq6wo7zk380.png', 'jobNature': '全职', 'industryField': 'O2O,移动互联网', 'companyShortName': '友宝', 'financeStage': '上市公司', 'companySize': '500-2000人', 'companyLabelList': ['带薪年假', '定期体检', '全勤奖', '商业保险'], 'publisherId': 8495383, 'district': '南山区', 'positionLables': ['数据运营', '数据库'], 'industryLables': [], 'businessZones': ['科技园'], 'formatCreateTime': '1天前发布', 'longitude': '113.932742', 'latitude': '22.540955', 'companyFullName': '深圳友宝科斯科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 84, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545790710000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '桃园', 'linestaion': '1号线/罗宝线_深大;1号线/罗宝线_桃园', 'thirdType': '数据分析', 'skillLables': ['数据运营', '数据库']}"
178,"{'companyId': 16213, 'score': 0, 'positionId': 5364474, 'positionName': '数据分析师', 'createTime': '2018-12-26 09:31:12', 'positionAdvantage': '年轻团队 氛围轻松有活力 扁平化管理', 'salary': '8k-15k', 'approve': 1, 'workYear': '3-5年', 'education': '本科', 'city': '深圳', 'companyLogo': 'i/image2/M01/BB/63/CgoB5lwbQkuAT4KDAAA1-tPJDqE446.png', 'jobNature': '全职', 'industryField': '移动互联网', 'companyShortName': '魅动力', 'financeStage': 'C轮', 'companySize': '150-500人', 'companyLabelList': ['疯狂地盈利', '奇迹的模式', '弹性工作', '独特的社区'], 'publisherId': 5203504, 'district': '南山区', 'positionLables': ['移动互联网', '社交'], 'industryLables': ['移动互联网', '社交'], 'businessZones': ['深圳湾', '后海', '科技园'], 'formatCreateTime': '09:31发布', 'longitude': '113.941717', 'latitude': '22.527875', 'companyFullName': '北京魅动力教育咨询有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545787499000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;1号线/罗宝线_深大;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': []}"
179,"{'companyId': 175085, 'score': 0, 'positionId': 4540599, 'positionName': '高级数据分析师', 'createTime': '2018-12-24 15:05:59', 'positionAdvantage': '餐补,年终奖', 'salary': '25k-30k', 'approve': 1, 'workYear': '5-10年', 'education': '本科', 'city': '深圳', 'companyLogo': 'i/image3/M00/19/E7/Cgq2xlp5ZHWACZ9qAAA0HOXbMCg842.png', 'jobNature': '全职', 'industryField': '金融', 'companyShortName': '海南新浪爱问普惠科技有限公司', 'financeStage': '未融资', 'companySize': '150-500人', 'companyLabelList': ['午餐补助', '通讯津贴', '带薪年假', '交通补助'], 'publisherId': 11796966, 'district': '南山区', 'positionLables': ['大数据'], 'industryLables': ['大数据'], 'businessZones': ['科技园'], 'formatCreateTime': '2天前发布', 'longitude': '113.937903', 'latitude': '22.545151', 'companyFullName': '海南新浪爱问普惠科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 3, 'imState': 'today', 'lastLogin': 1545789811000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': []}"
180,"{'positionAdvantage': '绩效丰厚', 'salary': '15k-30k', 'companyId': 24748, 'longitude': '113.957451', 'latitude': '22.538492', 'positionId': 5285486, 'city': '深圳', 'createTime': '2018-12-26 00:00:09', 'companyFullName': '平安科技（深圳）有限公司', 'positionName': '产品运营经理（数据分析方向）', 'workYear': '不限', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'i/image/M00/7D/7C/Cgp3O1hHwlSAXh_pAACcLWenfL8606.jpg', 'industryField': '金融', 'companySize': '2000人以上', 'score': 0, 'approve': 1, 'companyShortName': '平安科技', 'positionLables': ['产品策划'], 'industryLables': [], 'publisherId': 811225, 'financeStage': '不需要融资', 'companyLabelList': ['节日礼物', '年度旅游', '岗位晋升', '技能培训'], 'district': '南山区', 'businessZones': ['科技园', '白石洲', '大冲'], 'formatCreateTime': '00:00发布', 'hitags': None, 'resumeProcessRate': 35, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545804943000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '产品经理', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '产品经理', 'skillLables': ['产品策划'], 'adWord': 0}"
181,"{'positionAdvantage': '给力薪酬', 'salary': '15k-30k', 'companyId': 6927, 'longitude': '113.943044', 'latitude': '22.518785', 'positionId': 5310137, 'city': '深圳', 'createTime': '2018-12-20 14:25:33', 'companyFullName': 'OPPO广东移动通信有限公司', 'positionName': '高级数据分析师（Push方向）', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'companyLogo': 'image1/M00/37/F3/Cgo8PFWkd7iAHDSXAAAKdotH5mM556.jpg', 'industryField': '移动互联网', 'companySize': '2000人以上', 'score': 0, 'approve': 1, 'companyShortName': 'OPPO', 'positionLables': ['移动互联网'], 'industryLables': ['移动互联网'], 'publisherId': 2259801, 'financeStage': '不需要融资', 'companyLabelList': ['丰厚年终', '扁平管理', '追求极致', '本分'], 'district': '南山区', 'businessZones': None, 'formatCreateTime': '2018-12-20', 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545805821000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '登良', 'linestaion': '2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': [], 'adWord': 0}"
182,"{'companyId': 50285, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '150-500人', 'companyLogo': 'i/image2/M00/18/65/CgotOVn65YSAAu7lAAAVwDCKc5w606.png', 'industryField': '移动互联网,金融', 'city': '深圳', 'salary': '12k-24k', 'companyShortName': '众禄基金', 'positionId': 3819585, 'positionAdvantage': '新三板企业,高速发展,技术新颖,入职五险', 'createTime': '2018-12-26 11:29:41', 'district': '罗湖区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '数据挖掘'], 'industryLables': ['大数据', '数据挖掘'], 'publisherId': 1509336, 'companyLabelList': ['股票期权', '绩效奖金', '带薪年假', '通讯津贴'], 'businessZones': None, 'longitude': '22.565383', 'latitude': '114.106642', 'formatCreateTime': '11:29发布', 'companyFullName': '深圳众禄基金销售股份有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 61, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545800087000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': ['数据挖掘']}"
183,"{'companyId': 170335, 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '大专', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '50-150人', 'companyLogo': 'i/image/M00/97/9D/CgqKkVidjLmAUP51AAAqDXwYoq4199.png', 'industryField': '电子商务', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': '霸下科技', 'positionId': 5410743, 'positionAdvantage': '五险一金,员工旅游,公司氛围好,岗位晋升', 'createTime': '2018-12-26 09:23:22', 'district': '龙华新区', 'score': 0, 'approve': 1, 'positionLables': ['移动互联网', '电商', 'SPSS', '数据运营', '数据库'], 'industryLables': ['移动互联网', '电商', 'SPSS', '数据运营', '数据库'], 'publisherId': 7796897, 'companyLabelList': [], 'businessZones': None, 'longitude': '114.044461', 'latitude': '22.672986', 'formatCreateTime': '09:23发布', 'companyFullName': '深圳市霸下科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545786568000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '4号线/龙华线', 'stationname': '清湖', 'linestaion': '4号线/龙华线_清湖', 'thirdType': '数据分析', 'skillLables': ['SPSS', '数据运营', '数据库']}"
184,"{'companyId': 309770, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '未融资', 'companySize': '500-2000人', 'companyLogo': 'i/image/M00/7E/89/CgpEMlpNkHKAIUycAAAGSa-uKiA553.png', 'industryField': '金融', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': '云智惠', 'positionId': 5027288, 'positionAdvantage': '有潜力,领导好,氛围佳', 'createTime': '2018-12-17 14:36:47', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 9657792, 'companyLabelList': [], 'businessZones': ['科技园'], 'longitude': '22.539255', 'latitude': '113.952802', 'formatCreateTime': '2018-12-17', 'companyFullName': '云智惠（北京）投资管理有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'overSevenDays', 'lastLogin': 1545117358000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '产品经理', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据产品经理', 'skillLables': []}"
185,"{'companyId': 25576, 'positionName': '数据分析师 (MJ000556)', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'D轮及以上', 'companySize': '2000人以上', 'companyLogo': 'i/image/M00/18/6E/Cgp3O1bzun2ALs4CAAJHGWlcbcc449.png', 'industryField': '移动互联网,金融', 'city': '深圳', 'salary': '8k-15k', 'companyShortName': '团贷网', 'positionId': 5402320, 'positionAdvantage': '七险一金、奖金福利多、发展空间大', 'createTime': '2018-12-26 09:30:56', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['互联网金融'], 'industryLables': ['互联网金融'], 'publisherId': 8055969, 'companyLabelList': ['节日礼物', '带薪年假', '年度旅游', '定期体检'], 'businessZones': ['西丽', '大冲', '科技园'], 'longitude': '113.950514', 'latitude': '22.554745', 'formatCreateTime': '09:30发布', 'companyFullName': '东莞团贷网互联网科技服务有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545809864000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': []}"
186,"{'companyId': 128998, 'positionName': '数据分析', 'workYear': '3-5年', 'education': '大专', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '500-2000人', 'companyLogo': 'i/image/M00/2A/A6/Cgp3O1cyziuAfM5AAAAe20ZOb-4754.png', 'industryField': '移动互联网,金融', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': '海万科技', 'positionId': 3918175, 'positionAdvantage': '旅游,年终奖,过节费,环境好', 'createTime': '2018-12-26 11:47:51', 'district': '福田区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '金融'], 'industryLables': ['大数据', '金融'], 'publisherId': 4383654, 'companyLabelList': [], 'businessZones': ['莲花二村', '莲花一村', '岗厦', '莲花二村', '莲花一村', '岗厦', '莲花一村', '岗厦'], 'longitude': '114.06017', 'latitude': '22.548627', 'formatCreateTime': '11:47发布', 'companyFullName': '上海海万信息科技股份有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'disabled', 'lastLogin': 1545790218000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '少年宫', 'linestaion': '2号线/蛇口线_莲花西;2号线/蛇口线_福田;2号线/蛇口线_市民中心;2号线/蛇口线_岗厦北;4号线/龙华线_市民中心;4号线/龙华线_少年宫;4号线/龙华线_莲花北;3号线/龙岗线_福田;3号线/龙岗线_少年宫;3号线/龙岗线_莲花村;11号线/机场线_福田', 'thirdType': '数据分析', 'skillLables': []}"
187,"{'companyId': 95529, 'positionName': '大数据数据开发工程师/大数据数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '500-2000人', 'companyLogo': 'i/image/M00/45/77/CgqKkVeIdGiANSx7AAAVacVYVAo280.JPG', 'industryField': '移动互联网', 'city': '深圳', 'salary': '15k-30k', 'companyShortName': '云天励飞', 'positionId': 3842793, 'positionAdvantage': '技术大牛,独角兽,成长快,气氛融洽', 'createTime': '2018-12-24 11:56:02', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['数据挖掘'], 'industryLables': [], 'publisherId': 2571879, 'companyLabelList': ['节日礼物', '带薪年假', '年度旅游', '开放务实'], 'businessZones': ['深圳湾', '科技园'], 'longitude': '113.952696', 'latitude': '22.530438', 'formatCreateTime': '2天前发布', 'companyFullName': '深圳云天励飞技术有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545808114000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['数据挖掘']}"
188,"{'companyId': 174527, 'positionName': '数据分析师（用户方向）', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '150-500人', 'companyLogo': 'i/image2/M01/AB/2E/CgoB5lvtCheAKVWGAAAW12iA0Eo218.jpg', 'industryField': '电子商务,硬件', 'city': '深圳', 'salary': '15k-20k', 'companyShortName': '立创商城', 'positionId': 5389270, 'positionAdvantage': '周末双休，五险一金，下午茶，工作氛围好', 'createTime': '2018-12-26 10:50:53', 'district': '福田区', 'score': 0, 'approve': 1, 'positionLables': ['电商'], 'industryLables': ['电商'], 'publisherId': 7831169, 'companyLabelList': ['节日礼物', '五险一金', '水果、下午茶', '带薪年假'], 'businessZones': None, 'longitude': '114.04274', 'latitude': '22.549401', 'formatCreateTime': '10:50发布', 'companyFullName': '深圳市立创电子商务有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 5, 'imState': 'disabled', 'lastLogin': 1545806755000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '景田', 'linestaion': '2号线/蛇口线_香梅北;2号线/蛇口线_景田;2号线/蛇口线_莲花西;1号线/罗宝线_香蜜湖;9号线_香梅;9号线_景田;9号线_梅景', 'thirdType': '数据分析', 'skillLables': []}"
189,"{'companyId': 6566, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '2000人以上', 'companyLogo': 'i/image2/M00/48/95/CgotOVrf4a6AeNuJAABB14uGkI4724.jpg', 'industryField': '移动互联网,电子商务', 'city': '深圳', 'salary': '15k-30k', 'companyShortName': '金蝶', 'positionId': 5239060, 'positionAdvantage': '大平台', 'createTime': '2018-12-24 19:07:14', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 5698967, 'companyLabelList': ['年底双薪', '节日礼物', '技能培训', '岗位晋升'], 'businessZones': ['科技园', '大冲'], 'longitude': '113.954951', 'latitude': '22.533911', 'formatCreateTime': '2天前发布', 'companyFullName': '金蝶软件（中国）有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'threeDays', 'lastLogin': 1545702878000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_白石洲;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': []}"
